age,total_both,total_men,total_women,urban_both,urban_men,urban_women,rural_both,rural_men,rural_women
Всего,771373,357480,413893,490388,220824,269564,280985,136656,144329
до 1,4659,2379,2280,3380,1729,1651,1279,650,629
1,5232,2732,2500,3776,1984,1792,1456,748,708
2,5412,2660,2752,3912,1898,2014,1500,762,738
3,5793,2975,2818,4005,2043,1962,1788,932,856
4,6560,3388,3172,4578,2361,2217,1982,1027,955
5,6609,3412,3197,4600,2341,2259,2009,1071,938
6,7590,3852,3738,5349,2696,2653,2241,1156,1085
7,7693,3923,3770,5347,2699,2648,2346,1224,1122
8,7794,3975,3819,5257,2649,2608,2537,1326,1211
9,7950,4093,3857,5394,2804,2590,2556,1289,1267
10,7931,4041,3890,5372,2708,2664,2559,1333,1226
11,7601,3880,3721,5084,2589,2495,2517,1291,1226
12,7805,3975,3830,5172,2649,2523,2633,1326,1307
13,7883,3943,3940,5268,2606,2662,2615,1337,1278
14,8014,4045,3969,5260,2625,2635,2754,1420,1334
15,7587,3818,3769,4899,2463,2436,2688,1355,1333
16,7110,3675,3435,4825,2515,2310,2285,1160,1125
17,7337,3732,3605,5063,2571,2492,2274,1161,1113
18,7366,3642,3724,5220,2523,2697,2146,1119,1027
19,7951,3890,4061,5707,2802,2905,2244,1088,1156
20,7992,4065,3927,5764,2940,2824,2228,1125,1103
21,7834,4004,3830,5575,2823,2752,2259,1181,1078
22,8015,4063,3952,5423,2704,2719,2592,1359,1233
23,7499,3790,3709,5071,2481,2590,2428,1309,1119
24,7307,3686,3621,4873,2389,2484,2434,1297,1137
25,6956,3658,3298,4522,2334,2188,2434,1324,1110
26,7272,3746,3526,4831,2390,2441,2441,1356,1085
27,8064,4133,3931,5297,2633,2664,2767,1500,1267
28,7545,4049,3496,4807,2446,2361,2738,1603,1135
29,7925,4175,3750,5106,2557,2549,2819,1618,1201
30,8869,4684,4185,5692,2875,2817,3177,1809,1368
31,9736,5212,4524,6432,3277,3155,3304,1935,1369
32,11373,5939,5434,7507,3724,3783,3866,2215,1651
33,12230,6305,5925,8248,4102,4146,3982,2203,1779
34,12509,6494,6015,8429,4181,4248,4080,2313,1767
35,13196,6789,6407,8891,4369,4522,4305,2420,1885
36,13076,6757,6319,8721,4321,4400,4355,2436,1919
37,12859,6680,6179,8814,4368,4446,4045,2312,1733
38,12054,6227,5827,8152,3979,4173,3902,2248,1654
39,12404,6378,6026,8366,4091,4275,4038,2287,1751
40,11745,5972,5773,7946,3821,4125,3799,2151,1648
41,11109,5589,5520,7510,3632,3878,3599,1957,1642
42,11704,6016,5688,8041,4015,4026,3663,2001,1662
43,11178,5572,5606,7403,3516,3887,3775,2056,1719
44,10978,5551,5427,7281,3564,3717,3697,1987,1710
45,10655,5260,5395,6954,3295,3659,3701,1965,1736
46,11045,5430,5615,7195,3370,3825,3850,2060,1790
47,11318,5541,5777,7327,3420,3907,3991,2121,1870
48,10685,5197,5488,6753,3182,3571,3932,2015,1917
49,10081,4815,5266,6376,2914,3462,3705,1901,1804
50,10877,5120,5757,6729,3036,3693,4148,2084,2064
51,11331,5039,6292,6560,2811,3749,4771,2228,2543
52,11427,5243,6184,6625,2982,3643,4802,2261,2541
53,10237,4820,5417,5817,2655,3162,4420,2165,2255
54,10491,4962,5529,6061,2731,3330,4430,2231,2199
55,10280,4793,5487,5710,2504,3206,4570,2289,2281
56,11080,5114,5966,6214,2660,3554,4866,2454,2412
57,11779,5367,6412,6725,2912,3813,5054,2455,2599
58,11314,5174,6140,6403,2786,3617,4911,2388,2523
59,12456,5670,6786,7019,2978,4041,5437,2692,2745
60,12262,5457,6805,6923,2851,4072,5339,2606,2733
61,13036,5752,7284,7460,3044,4416,5576,2708,2868
62,14108,6285,7823,8106,3451,4655,6002,2834,3168
63,13340,5688,7652,7685,3072,4613,5655,2616,3039
64,13383,5688,7695,7676,3058,4618,5707,2630,3077
65,12443,5145,7298,7299,2795,4504,5144,2350,2794
66,12129,4967,7162,7124,2738,4386,5005,2229,2776
67,11019,4447,6572,6530,2407,4123,4489,2040,2449
68,10845,4215,6630,6574,2400,4174,4271,1815,2456
69,9483,3660,5823,5753,2099,3654,3730,1561,2169
70,9530,3645,5885,5862,2138,3724,3668,1507,2161
71,8560,3114,5446,5315,1833,3482,3245,1281,1964
72,8453,3135,5318,5248,1846,3402,3205,1289,1916
73,8269,2881,5388,5197,1692,3505,3072,1189,1883
74,6966,2336,4630,4441,1457,2984,2525,879,1646
75,5821,1833,3988,3706,1148,2558,2115,685,1430
76,5349,1554,3795,3502,945,2557,1847,609,1238
77,2670,842,1828,1717,529,1188,953,313,640
78,1899,573,1326,1149,338,811,750,235,515
79,1764,439,1325,1079,256,823,685,183,502
80,2868,759,2109,1652,416,1236,1216,343,873
81,4294,1093,3201,2524,654,1870,1770,439,1331
82,4107,991,3116,2269,564,1705,1838,427,1411
83,3632,850,2782,1985,476,1509,1647,374,1273
84,3567,738,2829,1986,398,1588,1581,340,1241
85,2614,555,2059,1372,308,1064,1242,247,995
86,2256,419,1837,1174,210,964,1082,209,873
87,1823,359,1464,943,191,752,880,168,712
88,1269,217,1052,651,119,532,618,98,520
89,907,178,729,415,66,349,492,112,380
90,939,149,790,430,68,362,509,81,428
91,650,100,550,332,56,276,318,44,274
92,675,88,587,350,49,301,325,39,286
93,520,74,446,285,43,242,235,31,204
94,472,61,411,297,37,260,175,24,151
95,345,31,314,227,14,213,118,17,101
96,267,22,245,187,15,172,80,7,73
97,166,12,154,121,9,112,45,3,42
98,133,10,123,72,3,69,61,7,54
99,108,5,103,78,5,73,30,0,30
100 и более,70,4,66,54,3,51,16,1,15
моложе трудоспособного,112113,57091,55022,76653,38844,37809,35460,18247,17213
трудоспособного,438120,233227,204893,282409,144074,138335,155711,89153,66558
старше трудоспособного,221140,67162,153978,131326,37906,93420,89814,29256,60558
